price_beer,name_cheapest,price_dreher,district_nr,type_shop,address_shop,date_collection
129,Rastinger,229,11,Tesco,"Budapest, Fehérvári út 45, 1116",3/10/2017
89,Balatoni,229,11,Tesco,"Budapest, Hengermalom út 19-21, 1117",3/10/2017
129,Arany Facan,219,11,Auchan,"Budapest, Hunyadi János út 19, 1117",
129,Karlskrone,229,11,Aldi,"Budapest, Sopron út 60, 1116",8/10/2017
149,Kobanyai,259,11,Akciopont,1117 Bp. Hauszmann Alajos u 4/b,8/10/2017
129,Riesenbrau,249,11,CBA Prima,"Budapest, Nádorliget u. 5, 1117 Hungary",
139,Riesenbrau,259,11,Coop Mini,"1117 Budapest, Fehérvári út 48",8/10/2017
169,Kaiser Premium,249,11,Groby,"1119 Budapest, Villányi út 1.",8/10/2017
129,Waldert,249,11,Spar,"Budapest, Október 23-a utca 8-10, 1117",7/10/2017
79,Argus,229,11,Lidl,"Budapest, Bartók Béla u. 47, 1114",3/10/2017